,form,lexeme,morph_descr,category
0,porucznik,porucznik,subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f,profession
1,porucznik,porucznik,subst:sg:nom:m1,profession
2,porucznika,porucznik,subst:sg:gen.acc:m1,profession
3,porucznikowi,porucznik,subst:sg:dat:m1,profession
4,porucznikiem,porucznik,subst:sg:inst:m1,profession
5,poruczniku,porucznik,subst:sg:loc:m1,profession
6,poruczniku,porucznik,subst:sg:voc:m1,profession
7,porucznicy,porucznik,subst:pl:nom.voc:m1,profession
8,poruczników,porucznik,subst:pl:gen.acc:m1,profession
9,porucznikom,porucznik,subst:pl:dat:m1,profession
10,porucznikami,porucznik,subst:pl:inst:m1,profession
11,porucznikach,porucznik,subst:pl:loc:m1,profession
12,pastor,pastor,subst:sg:nom:m1,profession
13,pastora,pastor,subst:sg:gen.acc:m1,profession
14,pastorowi,pastor,subst:sg:dat:m1,profession
15,pastorem,pastor,subst:sg:inst:m1,profession
16,pastorze,pastor,subst:sg:loc:m1,profession
17,pastorze,pastor,subst:sg:voc:m1,profession
18,pastorowie,pastor,subst:pl:nom.voc:m1,profession
19,pastorzy,pastor,subst:pl:nom.voc:m1,profession
20,pastorów,pastor,subst:pl:gen.acc:m1,profession
21,pastorom,pastor,subst:pl:dat:m1,profession
22,pastorami,pastor,subst:pl:inst:m1,profession
23,pastorach,pastor,subst:pl:loc:m1,profession
24,ksiądz,ksiądz,subst:sg:nom:m1,profession
25,księdza,ksiądz,subst:sg:gen.acc:m1,profession
26,księdzu,ksiądz,subst:sg:dat:m1,profession
27,księdzem,ksiądz,subst:sg:inst:m1,profession
28,księdzu,ksiądz,subst:sg:loc:m1,profession
29,księże,ksiądz,subst:sg:voc:m1,profession
30,księża,ksiądz,subst:pl:nom.voc:m1,profession
31,księży,ksiądz,subst:pl:gen.acc:m1,profession
32,księżom,ksiądz,subst:pl:dat:m1,profession
33,księżmi,ksiądz,subst:pl:inst:m1,profession
34,księżach,ksiądz,subst:pl:loc:m1,profession
35,lump,lump,subst:sg:nom:m1,profession
36,lumpa,lump,subst:sg:gen.acc:m1,profession
37,lumpowi,lump,subst:sg:dat:m1,profession
38,lumpem,lump,subst:sg:inst:m1,profession
39,lumpie,lump,subst:sg:loc:m1,profession
40,lumpie,lump,subst:sg:voc:m1,profession
41,lumpowie,lump,subst:pl:nom.voc:m1,profession
42,lumpów,lump,subst:pl:gen.acc:m1,profession
43,lumpom,lump,subst:pl:dat:m1,profession
44,lumpami,lump,subst:pl:inst:m1,profession
45,lumpach,lump,subst:pl:loc:m1,profession
46,lump,lump,subst:sg:nom.acc:m3,profession
47,lumpa,lump,subst:sg:gen:m3,profession
48,lumpowi,lump,subst:sg:dat:m3,profession
49,lumpem,lump,subst:sg:inst:m3,profession
50,lumpie,lump,subst:sg:loc:m3,profession
51,lumpie,lump,subst:sg:voc:m3,profession
52,lumpy,lump,subst:pl:nom.acc.voc:m3,profession
53,lumpów,lump,subst:pl:gen:m3,profession
54,lumpom,lump,subst:pl:dat:m3,profession
55,lumpami,lump,subst:pl:inst:m3,profession
56,lumpach,lump,subst:pl:loc:m3,profession
57,pajac,pajac,subst:sg:nom:m1,profession
58,pajaca,pajac,subst:sg:gen.acc:m1,profession
59,pajacowi,pajac,subst:sg:dat:m1,profession
60,pajacem,pajac,subst:sg:inst:m1,profession
61,pajacu,pajac,subst:sg:loc:m1,profession
62,pajacu,pajac,subst:sg:voc:m1,profession
63,pajace,pajac,subst:pl:nom.voc:m1,profession
64,pajacowie,pajac,subst:pl:nom.voc:m1,profession
65,pajacy,pajac,subst:pl:gen.acc:m1,profession
66,pajaców,pajac,subst:pl:gen.acc:m1,profession
67,pajacom,pajac,subst:pl:dat:m1,profession
68,pajacami,pajac,subst:pl:inst:m1,profession
69,pajacach,pajac,subst:pl:loc:m1,profession
70,pajac,pajac,subst:sg:nom:m2,profession
71,pajaca,pajac,subst:sg:gen.acc:m2,profession
72,pajacowi,pajac,subst:sg:dat:m2,profession
73,pajacem,pajac,subst:sg:inst:m2,profession
74,pajacu,pajac,subst:sg:loc:m2,profession
75,pajacu,pajac,subst:sg:voc:m2,profession
76,pajace,pajac,subst:pl:nom.acc.voc:m2,profession
77,pajacy,pajac,subst:pl:gen:m2,profession
78,pajaców,pajac,subst:pl:gen:m2,profession
79,pajacom,pajac,subst:pl:dat:m2,profession
80,pajacami,pajac,subst:pl:inst:m2,profession
81,pajacach,pajac,subst:pl:loc:m2,profession
82,chirurg,chirurg,subst:sg:nom:m1,profession
83,chirurga,chirurg,subst:sg:gen.acc:m1,profession
84,chirurgowi,chirurg,subst:sg:dat:m1,profession
85,chirurgiem,chirurg,subst:sg:inst:m1,profession
86,chirurgu,chirurg,subst:sg:loc:m1,profession
87,chirurgu,chirurg,subst:sg:voc:m1,profession
88,chirurgowie,chirurg,subst:pl:nom.voc:m1,profession
89,chirurdzy,chirurg,subst:pl:nom.voc:m1,profession
90,chirurgów,chirurg,subst:pl:gen.acc:m1,profession
91,chirurgom,chirurg,subst:pl:dat:m1,profession
92,chirurgami,chirurg,subst:pl:inst:m1,profession
93,chirurgach,chirurg,subst:pl:loc:m1,profession
94,premier,premier,subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f,profession
95,premier,premier,subst:sg:nom:m1,profession
96,premiera,premier,subst:sg:gen.acc:m1,profession
97,premierowi,premier,subst:sg:dat:m1,profession
98,premierem,premier,subst:sg:inst:m1,profession
99,premierze,premier,subst:sg:loc:m1,profession
100,premierze,premier,subst:sg:voc:m1,profession
101,premierzy,premier,subst:pl:nom.voc:m1,profession
102,premierów,premier,subst:pl:gen.acc:m1,profession
103,premierom,premier,subst:pl:dat:m1,profession
104,premierami,premier,subst:pl:inst:m1,profession
105,premierach,premier,subst:pl:loc:m1,profession
106,polityk,polityk,subst:sg:nom.acc:m3,profession
107,polityku,polityk,subst:sg:gen:m3,profession
108,politykowi,polityk,subst:sg:dat:m3,profession
109,politykiem,polityk,subst:sg:inst:m3,profession
110,polityku,polityk,subst:sg:loc:m3,profession
111,polityku,polityk,subst:sg:voc:m3,profession
112,polityki,polityk,subst:pl:nom.acc.voc:m3,profession
113,polityków,polityk,subst:pl:gen:m3,profession
114,politykom,polityk,subst:pl:dat:m3,profession
115,politykami,polityk,subst:pl:inst:m3,profession
116,politykach,polityk,subst:pl:loc:m3,profession
117,polityk,polityk,subst:sg:nom:m1,profession
118,polityka,polityk,subst:sg:gen.acc:m1,profession
119,politykowi,polityk,subst:sg:dat:m1,profession
120,politykiem,polityk,subst:sg:inst:m1,profession
121,polityku,polityk,subst:sg:loc:m1,profession
122,polityku,polityk,subst:sg:voc:m1,profession
123,politycy,polityk,subst:pl:nom.voc:m1,profession
124,polityków,polityk,subst:pl:gen.acc:m1,profession
125,politykom,polityk,subst:pl:dat:m1,profession
126,politykami,polityk,subst:pl:inst:m1,profession
127,politykach,polityk,subst:pl:loc:m1,profession
128,magister,magister,subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f,profession
129,magister,magister,subst:sg:nom:m1,profession
130,magistra,magister,subst:sg:gen.acc:m1,profession
131,magistrowi,magister,subst:sg:dat:m1,profession
132,magistrem,magister,subst:sg:inst:m1,profession
133,magistrze,magister,subst:sg:loc:m1,profession
134,magistrze,magister,subst:sg:voc:m1,profession
135,magistrowie,magister,subst:pl:nom.voc:m1,profession
136,magistrzy,magister,subst:pl:nom.voc:m1,profession
137,magistrów,magister,subst:pl:gen.acc:m1,profession
138,magistrom,magister,subst:pl:dat:m1,profession
139,magistrami,magister,subst:pl:inst:m1,profession
140,magistrach,magister,subst:pl:loc:m1,profession
141,nurek,nurek,subst:sg:nom:m1,profession
142,nurka,nurek,subst:sg:gen.acc:m1,profession
143,nurkowi,nurek,subst:sg:dat:m1,profession
144,nurkiem,nurek,subst:sg:inst:m1,profession
145,nurku,nurek,subst:sg:loc:m1,profession
146,nurku,nurek,subst:sg:voc:m1,profession
147,nurkowie,nurek,subst:pl:nom.voc:m1,profession
148,nurków,nurek,subst:pl:gen.acc:m1,profession
149,nurkom,nurek,subst:pl:dat:m1,profession
150,nurkami,nurek,subst:pl:inst:m1,profession
151,nurkach,nurek,subst:pl:loc:m1,profession
152,nurek,nurek,subst:sg:nom:m2,profession
153,nurka,nurek,subst:sg:gen.acc:m2,profession
154,nurkowi,nurek,subst:sg:dat:m2,profession
155,nurkiem,nurek,subst:sg:inst:m2,profession
156,nurku,nurek,subst:sg:loc:m2,profession
157,nurku,nurek,subst:sg:voc:m2,profession
158,nurki,nurek,subst:pl:nom.acc.voc:m2,profession
159,nurków,nurek,subst:pl:gen:m2,profession
160,nurkom,nurek,subst:pl:dat:m2,profession
161,nurkami,nurek,subst:pl:inst:m2,profession
162,nurkach,nurek,subst:pl:loc:m2,profession
163,geriatra,geriatra,subst:sg:nom:m1,profession
164,geriatry,geriatra,subst:sg:gen:m1,profession
165,geriatrze,geriatra,subst:sg:dat.loc:m1,profession
166,geriatrę,geriatra,subst:sg:acc:m1,profession
167,geriatrą,geriatra,subst:sg:inst:m1,profession
168,geriatro,geriatra,subst:sg:voc:m1,profession
169,geriatrzy,geriatra,subst:pl:nom.voc:m1,profession
170,geriatrów,geriatra,subst:pl:gen.acc:m1,profession
171,geriatrom,geriatra,subst:pl:dat:m1,profession
172,geriatrami,geriatra,subst:pl:inst:m1,profession
173,geriatrach,geriatra,subst:pl:loc:m1,profession
174,dziekan,dziekan,subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f,profession
175,dziekan,dziekan,subst:sg:nom:m1,profession
176,dziekana,dziekan,subst:sg:gen.acc:m1,profession
177,dziekanowi,dziekan,subst:sg:dat:m1,profession
178,dziekanem,dziekan,subst:sg:inst:m1,profession
179,dziekanie,dziekan,subst:sg:loc:m1,profession
180,dziekanie,dziekan,subst:sg:voc:m1,profession
181,dziekani,dziekan,subst:pl:nom.voc:m1,profession
182,dziekanów,dziekan,subst:pl:gen.acc:m1,profession
183,dziekanom,dziekan,subst:pl:dat:m1,profession
184,dziekanami,dziekan,subst:pl:inst:m1,profession
185,dziekanach,dziekan,subst:pl:loc:m1,profession
186,starosta,starosta,subst:sg:nom:m1,profession
187,starosty,starosta,subst:sg:gen:m1,profession
188,staroście,starosta,subst:sg:dat.loc:m1,profession
189,starostę,starosta,subst:sg:acc:m1,profession
190,starostą,starosta,subst:sg:inst:m1,profession
191,starosto,starosta,subst:sg:voc:m1,profession
192,starostowie,starosta,subst:pl:nom.voc:m1,profession
193,starostów,starosta,subst:pl:gen.acc:m1,profession
194,starostom,starosta,subst:pl:dat:m1,profession
195,starostami,starosta,subst:pl:inst:m1,profession
196,starostach,starosta,subst:pl:loc:m1,profession
197,jeniec,jeniec,subst:sg:nom:m1,profession
198,jeńca,jeniec,subst:sg:gen.acc:m1,profession
199,jeńcowi,jeniec,subst:sg:dat:m1,profession
200,jeńcem,jeniec,subst:sg:inst:m1,profession
201,jeńcu,jeniec,subst:sg:loc:m1,profession
202,jeńcu,jeniec,subst:sg:voc:m1,profession
203,jeńcze,jeniec,subst:sg:voc:m1,profession
204,jeńcy,jeniec,subst:pl:nom.voc:m1,profession
205,jeńców,jeniec,subst:pl:gen.acc:m1,profession
206,jeńcom,jeniec,subst:pl:dat:m1,profession
207,jeńcami,jeniec,subst:pl:inst:m1,profession
208,jeńcach,jeniec,subst:pl:loc:m1,profession
209,nieuk,nieuk,subst:sg:nom:m1,profession
210,nieuka,nieuk,subst:sg:gen.acc:m1,profession
211,nieukowi,nieuk,subst:sg:dat:m1,profession
212,nieukiem,nieuk,subst:sg:inst:m1,profession
213,nieuku,nieuk,subst:sg:loc:m1,profession
214,nieuku,nieuk,subst:sg:voc:m1,profession
215,nieukowie,nieuk,subst:pl:nom.voc:m1,profession
216,nieucy,nieuk,subst:pl:nom.voc:m1,profession
217,nieuków,nieuk,subst:pl:gen.acc:m1,profession
218,nieukom,nieuk,subst:pl:dat:m1,profession
219,nieukami,nieuk,subst:pl:inst:m1,profession
220,nieukach,nieuk,subst:pl:loc:m1,profession
221,inżynier,inżynier,subst:sg:nom:m1,profession
222,inżyniera,inżynier,subst:sg:gen.acc:m1,profession
223,inżynierowi,inżynier,subst:sg:dat:m1,profession
224,inżynierem,inżynier,subst:sg:inst:m1,profession
225,inżynierze,inżynier,subst:sg:loc:m1,profession
226,inżynierze,inżynier,subst:sg:voc:m1,profession
227,inżynierowie,inżynier,subst:pl:nom.voc:m1,profession
228,inżynierzy,inżynier,subst:pl:nom.voc:m1,profession
229,inżynierów,inżynier,subst:pl:gen.acc:m1,profession
230,inżynierom,inżynier,subst:pl:dat:m1,profession
231,inżynierami,inżynier,subst:pl:inst:m1,profession
232,inżynierach,inżynier,subst:pl:loc:m1,profession
233,mędrzec,mędrzec,subst:sg:nom:m1,profession
234,mędrca,mędrzec,subst:sg:gen.acc:m1,profession
235,mędrcowi,mędrzec,subst:sg:dat:m1,profession
236,mędrcem,mędrzec,subst:sg:inst:m1,profession
237,mędrcu,mędrzec,subst:sg:loc:m1,profession
238,mędrcu,mędrzec,subst:sg:voc:m1,profession
239,mędrcze,mędrzec,subst:sg:voc:m1,profession
240,mędrcy,mędrzec,subst:pl:nom.voc:m1,profession
241,mędrców,mędrzec,subst:pl:gen.acc:m1,profession
242,mędrcom,mędrzec,subst:pl:dat:m1,profession
243,mędrcami,mędrzec,subst:pl:inst:m1,profession
244,mędrcach,mędrzec,subst:pl:loc:m1,profession
245,architekt,architekt,subst:sg:nom:m1,profession
246,architekta,architekt,subst:sg:gen.acc:m1,profession
247,architektowi,architekt,subst:sg:dat:m1,profession
248,architektem,architekt,subst:sg:inst:m1,profession
249,architekcie,architekt,subst:sg:loc:m1,profession
250,architekcie,architekt,subst:sg:voc:m1,profession
251,architekci,architekt,subst:pl:nom.voc:m1,profession
252,architektów,architekt,subst:pl:gen.acc:m1,profession
253,architektom,architekt,subst:pl:dat:m1,profession
254,architektami,architekt,subst:pl:inst:m1,profession
255,architektach,architekt,subst:pl:loc:m1,profession
256,zbieg,zbieg,subst:sg:nom:m1,profession
257,zbiega,zbieg,subst:sg:gen.acc:m1,profession
258,zbiegowi,zbieg,subst:sg:dat:m1,profession
259,zbiegiem,zbieg,subst:sg:inst:m1,profession
260,zbiegu,zbieg,subst:sg:loc:m1,profession
261,zbiegu,zbieg,subst:sg:voc:m1,profession
262,zbiegowie,zbieg,subst:pl:nom.voc:m1,profession
263,zbiegów,zbieg,subst:pl:gen.acc:m1,profession
264,zbiegom,zbieg,subst:pl:dat:m1,profession
265,zbiegami,zbieg,subst:pl:inst:m1,profession
266,zbiegach,zbieg,subst:pl:loc:m1,profession
267,zbieg,zbieg,subst:sg:nom.acc:m3,profession
268,zbiegu,zbieg,subst:sg:gen:m3,profession
269,zbiegowi,zbieg,subst:sg:dat:m3,profession
270,zbiegiem,zbieg,subst:sg:inst:m3,profession
271,zbiegu,zbieg,subst:sg:loc:m3,profession
272,zbiegu,zbieg,subst:sg:voc:m3,profession
273,zbiegi,zbieg,subst:pl:nom.acc.voc:m3,profession
274,zbiegów,zbieg,subst:pl:gen:m3,profession
275,zbiegom,zbieg,subst:pl:dat:m3,profession
276,zbiegami,zbieg,subst:pl:inst:m3,profession
277,zbiegach,zbieg,subst:pl:loc:m3,profession
278,szubrawiec,szubrawiec,subst:sg:nom:m1,profession
279,szubrawca,szubrawiec,subst:sg:gen.acc:m1,profession
280,szubrawcowi,szubrawiec,subst:sg:dat:m1,profession
281,szubrawcem,szubrawiec,subst:sg:inst:m1,profession
282,szubrawcu,szubrawiec,subst:sg:loc:m1,profession
283,szubrawcu,szubrawiec,subst:sg:voc:m1,profession
284,szubrawcze,szubrawiec,subst:sg:voc:m1,profession
285,szubrawcy,szubrawiec,subst:pl:nom.voc:m1,profession
286,szubrawców,szubrawiec,subst:pl:gen.acc:m1,profession
287,szubrawcom,szubrawiec,subst:pl:dat:m1,profession
288,szubrawcami,szubrawiec,subst:pl:inst:m1,profession
289,szubrawcach,szubrawiec,subst:pl:loc:m1,profession
290,szpieg,szpieg,subst:sg:nom:m1,profession
291,szpiega,szpieg,subst:sg:gen.acc:m1,profession
292,szpiegowi,szpieg,subst:sg:dat:m1,profession
293,szpiegiem,szpieg,subst:sg:inst:m1,profession
294,szpiegu,szpieg,subst:sg:loc:m1,profession
295,szpiegu,szpieg,subst:sg:voc:m1,profession
296,szpiedzy,szpieg,subst:pl:nom.voc:m1,profession
297,szpiegów,szpieg,subst:pl:gen.acc:m1,profession
298,szpiegom,szpieg,subst:pl:dat:m1,profession
299,szpiegami,szpieg,subst:pl:inst:m1,profession
300,szpiegach,szpieg,subst:pl:loc:m1,profession
301,upiór,upiór,subst:sg:nom:m2,profession
302,upiora,upiór,subst:sg:gen.acc:m2,profession
303,upiorowi,upiór,subst:sg:dat:m2,profession
304,upiorem,upiór,subst:sg:inst:m2,profession
305,upiorze,upiór,subst:sg:loc:m2,profession
306,upiorze,upiór,subst:sg:voc:m2,profession
307,upiory,upiór,subst:pl:nom.acc.voc:m2,profession
308,upiorów,upiór,subst:pl:gen:m2,profession
309,upiorom,upiór,subst:pl:dat:m2,profession
310,upiorami,upiór,subst:pl:inst:m2,profession
311,upiorach,upiór,subst:pl:loc:m2,profession
312,prefekt,prefekt,subst:sg:nom:m1,profession
313,prefekta,prefekt,subst:sg:gen.acc:m1,profession
314,prefektowi,prefekt,subst:sg:dat:m1,profession
315,prefektem,prefekt,subst:sg:inst:m1,profession
316,prefekcie,prefekt,subst:sg:loc:m1,profession
317,prefekcie,prefekt,subst:sg:voc:m1,profession
318,prefekci,prefekt,subst:pl:nom.voc:m1,profession
319,prefektów,prefekt,subst:pl:gen.acc:m1,profession
320,prefektom,prefekt,subst:pl:dat:m1,profession
321,prefektami,prefekt,subst:pl:inst:m1,profession
322,prefektach,prefekt,subst:pl:loc:m1,profession
323,muzykolog,muzykolog,subst:sg:nom:m1,profession
324,muzykologa,muzykolog,subst:sg:gen.acc:m1,profession
325,muzykologowi,muzykolog,subst:sg:dat:m1,profession
326,muzykologiem,muzykolog,subst:sg:inst:m1,profession
327,muzykologu,muzykolog,subst:sg:loc:m1,profession
328,muzykologu,muzykolog,subst:sg:voc:m1,profession
329,muzykologowie,muzykolog,subst:pl:nom.voc:m1,profession
330,muzykolodzy,muzykolog,subst:pl:nom.voc:m1,profession
331,muzykologów,muzykolog,subst:pl:gen.acc:m1,profession
332,muzykologom,muzykolog,subst:pl:dat:m1,profession
333,muzykologami,muzykolog,subst:pl:inst:m1,profession
334,muzykologach,muzykolog,subst:pl:loc:m1,profession
335,majster,majster,subst:sg:nom:m1,profession
336,majstra,majster,subst:sg:gen.acc:m1,profession
337,majstrowi,majster,subst:sg:dat:m1,profession
338,majstrem,majster,subst:sg:inst:m1,profession
339,majstrze,majster,subst:sg:loc:m1,profession
340,majstrze,majster,subst:sg:voc:m1,profession
341,majstrowie,majster,subst:pl:nom.voc:m1,profession
